bank_id,bank_name,quarter_end_date,total_assets,total_loans,allowance_for_credit_losses,noncurrent_loans,net_charge_offs,deposits,tier1_capital,risk_weighted_assets,total_equity_capital,net_income,nco_ratio,nco_ratio_next_q,high_risk_next_q,reserve_coverage_ratio,npa_ratio,capital_ratio,equity_to_assets,roa,total_loans_lag1,deposits_lag1,nco_ratio_lag1,npa_ratio_lag1,loan_growth_qoq,deposit_growth_qoq,coralacbn
10345,PEOPLES STATE BANK,2025-12-31,187410,96056,1.0405291245132178,1.308388107061175,0.0056475861087454,162846,18.20759204642755,18.20759204642755,15077,1787,0.0056475861087454,NA,0,1.0405291245132178,1.308388107061175,18.20759204642755,0.08044928232218132,0.009535243583586789,NA,NA,NA,NA,NA,NA,0.61
10352,CROWELL STATE BANK,2025-12-31,54503,27918,0.9613679094682324,0.14899428855227215,-0.01893107573944782,48378,0,0,5682,1114,-0.01893107573944782,NA,0,0.9613679094682324,0.14899428855227215,0,0.10425114213896483,0.02043924187659395,NA,NA,NA,NA,NA,NA,0.61
10363,CITIZENS&FARMERS BANK,2025-12-31,2744329,2054288,1.8948263223119777,0.10410871241878449,0.603111180768689,2354756,13.57755277182681,13.57755277182681,314938,30521,0.603111180768689,NA,0,1.8948263223119777,0.10410871241878449,13.57755277182681,0.11475956417761865,0.011121479968327413,NA,NA,NA,NA,NA,NA,0.61
10374,BANNER BANKS,2025-12-31,133257,27632,1.5323212885752977,0.4775140759746276,0,116093,0,0,16962,1,0,NA,0,1.5323212885752977,0.4775140759746276,0,0.1272878723068957,7.504296209579984e-6,NA,NA,NA,NA,NA,NA,0.61
10378,BANK OF NEW GLARUS,2025-12-31,813336,610149,1.2158812548671678,2.0933880992586524,0.02132442052166697,635934,10.944735001165927,10.944735001165927,78303,10573,0.02132442052166697,NA,0,1.2158812548671678,2.0933880992586524,10.944735001165927,0.09627386467585353,0.012999547542467073,NA,NA,NA,NA,NA,NA,0.61
10380,OOSTBURG STATE BANK,2025-12-31,433545,298681,1.363887045054506,0.20144578631555657,0.00451786084154541,383126,12.99000642091572,12.99000642091572,44824,4530,0.00451786084154541,NA,0,1.363887045054506,0.20144578631555657,12.99000642091572,0.10338949820664521,0.010448742345085285,NA,NA,NA,NA,NA,NA,0.61
10382,FARMERS&MERCHANTS BANK&TRUST,2025-12-31,174001,117977,1.0177028274184077,1.0680426210252538,-0.00173207561549307,146524,16.402543571987415,16.402543571987415,16079,1045,-0.00173207561549307,NA,0,1.0177028274184077,1.0680426210252538,16.402543571987415,0.09240751489933965,0.006005712610847064,NA,NA,NA,NA,NA,NA,0.61
10383,STATE BANK FINANCIAL,2025-12-31,519820,325895,0.8630130318922405,0.11407468697905894,-0.02249851831186546,406657,13.80085716917442,13.80085716917442,46806,6125,-0.02249851831186546,NA,0,0.8630130318922405,0.11407468697905894,13.80085716917442,0.09004270709091608,0.011782924858604901,NA,NA,NA,NA,NA,NA,0.61
10384,WAUMANDEE STATE BANK,2025-12-31,350581,259141,0.9963743892049252,0.747280791903694,0.2792246147237287,300266,13.106733988663152,13.106733988663152,38363,4160,0.2792246147237287,NA,0,0.9963743892049252,0.747280791903694,13.106733988663152,0.10942692273682829,0.011866016697995613,NA,NA,NA,NA,NA,NA,0.61
1040,MIDLAND STATES BANK,2025-12-31,6502519,4290566,1.5876700341874657,1.501977735140609,2.0404048476520003,5429071,13.046850207664953,13.046850207664953,610247,-114457,2.0404048476520003,NA,0,1.5876700341874657,1.501977735140609,13.046850207664953,0.09384778422023834,-0.017601947798999127,NA,NA,NA,NA,NA,NA,0.61
10407,FARMERS STATE BANK OF BRUSH,2025-12-31,113355,62658,1.16567029985646,0.0362793192106882,0,90090,0,0,22171,631,0,NA,0,1.16567029985646,0.0362793192106882,0,0.19558907855851088,0.005566582859159278,NA,NA,NA,NA,NA,NA,0.61
10434,STATE BANK OF GRAYMONT,2025-12-31,323043,185349,1.299330631719643,3.8005420977799553,0.0053167563957921,282111,0,0,36206,2058,0.0053167563957921,NA,0,1.299330631719643,3.8005420977799553,0,0.11207795866184997,0.006370668920236625,NA,NA,NA,NA,NA,NA,0.61
10437,FIRST STATE BANK OF OLMSTED,2025-12-31,77527,47994,0.9657050885229664,1.136973298666997,0,67847,0,0,9330,864,0,NA,0,0.9657050885229664,1.136973298666997,0,0.12034517006978214,0.01114450449520812,NA,NA,NA,NA,NA,NA,0.61
10438,RARITAN STATE BANK,2025-12-31,249367,180144,1.0437037199797852,1.1700468018720749,0.17059024223814398,220052,0,0,27770,2403,0.17059024223814398,NA,0,1.0437037199797852,1.1700468018720749,0,0.11136196850425277,0.009636399363187591,NA,NA,NA,NA,NA,NA,0.61
10446,FREDERICK COMMUNITY BANK THE,2025-12-31,195909,99394,0.9783215111181957,0.1673706862198135,0.01763862859662661,174681,17.610267597952113,17.610267597952113,20617,3962,0.01763862859662661,NA,0,0.9783215111181957,0.1673706862198135,17.610267597952113,0.10523763584113031,0.020223675277807555,NA,NA,NA,NA,NA,NA,0.61
10458,FARMERS STATE BANK&TRUST CO,2025-12-31,134146,90867,1.1756645060251445,0.6525427415495716,0.00218530035860778,122000,12.394918146766956,12.394918146766956,10755,1692,0.00218530035860778,NA,0,1.1756645060251445,0.6525427415495716,12.394918146766956,0.08017384044250295,0.01261312301522222,NA,NA,NA,NA,NA,NA,0.61
10460,TOWN&COUNTRY BANK MIDWEST,2025-12-31,283670,196245,1.3908639134126917,0.11305794093853164,0.01921235572559355,243066,0,0,40004,7349,0.01921235572559355,NA,0,1.3908639134126917,0.11305794093853164,0,0.1410230197059964,0.02590686360912328,NA,NA,NA,NA,NA,NA,0.61
10463,MIDDLETOWN STATE BANK,2025-12-31,45698,32417,0.8138787748982652,0,0.00332648078292051,38243,13.85846372688478,13.85846372688478,5804,210,0.00332648078292051,NA,0,0.8138787748982652,0,13.85846372688478,0.12700774650969407,0.004595387106656746,NA,NA,NA,NA,NA,NA,0.61
10464,FEDERATED BANK,2025-12-31,134806,80792,0.9051882742548756,0.05028823745860419,-0.0178454583308548,113985,12.40983018952462,12.40983018952462,19686,369,-0.0178454583308548,NA,0,0.9051882742548756,0.05028823745860419,12.40983018952462,0.14603207572363247,0.0027372668872305385,NA,NA,NA,NA,NA,NA,0.61
