bank_id,bank_name,quarter_end_date,total_assets,total_loans,allowance_for_credit_losses,noncurrent_loans,net_charge_offs,deposits,tier1_capital,risk_weighted_assets,total_equity_capital,net_income
9037,MOUND CITY BANK,2025-12-31,544198,413600,1.395623834794757,0.01430430988856942,0.00398313540469651,469822,16.2798018855002,16.2798018855002,65418,6739
9047,CITIZENS STATE BANK,2025-12-31,596307,326448,1.149153804925464,1.5119169823433047,0.00818888682892891,544023,0,0,35495,3985
9057,BANK OF MOUNDVILLE,2025-12-31,133546,57108,0.962488944383747,5.100324298076756,0.04735446394746811,117018,0,0,16166,581
9064,PLANTERS FIRST BANK,2025-12-31,453373,308564,1.625316423411188,1.1910910470506468,0.13468636036216997,408808,14.084970712538,14.084970712538,41433,7534
9068,BANK OF DUDLEY,2025-12-31,502381,337112,1.3002374448475054,0.13175114843084382,-0.00959523462267699,453107,0,0,46860,5889
9069,FARMERS&MERCHANTS BANK,2025-12-31,312002,117644,1.6502533063585747,1.0583691417679617,-0.01395059010996165,281718,20.34341568152596,20.34341568152596,27778,2023
9070,FIRST BANK OF PIKE,2025-12-31,85864,53697,1.6033863519753715,1.2259033936817416,-0.03425961172440046,76820,15.131691873438482,15.639005969523009,7917,898
9079,HARVARD STATE BANK,2025-12-31,327808,184372,1.0364835778275174,0.181424883120508,-0.00163442313035614,291117,14.534004913762969,14.534004913762969,26662,2620
9080,HOLCOMB BANK,2025-12-31,311595,228556,1.2789557570286416,0.03109922813443505,-0.10108933871398187,238121,11.015265899089266,11.015265899089266,21621,3934
9087,1ST SOURCE BANK,2025-12-31,9052654,6889689,2.29518821079382,1.109162756761471,0.06034697011292631,7226078,14.815290863030471,15.35917851886572,1261651,166064
9096,ATKINS SAVINGS BANK&TRUST,2025-12-31,171978,115465,1.2309245192636693,0.8357284609594198,0.08363575537632453,139231,0,0,15494,1848
9099,SOUTH OTTUMWA SAVINGS BANK,2025-12-31,518942,319785,1.0504981743919797,0.2540379974008293,0.18010660830883593,429506,18.295778653773056,18.295778653773056,74296,6662
9100,PILOT GROVE SAVINGS BANK,2025-12-31,1144270,854197,0.9957254852872316,0.1140488741150781,0.09221644419246204,1010151,10.010021426210518,10.010021426210518,115630,19201
9105,WEST IOWA BANK,2025-12-31,169591,93917,1.2252581981868282,0,0.08694385817717853,131638,0,0,27680,2461
9106,FARMERS STATE BANK,2025-12-31,73122,40820,0.86458130950068,0,0.00273424256012599,61704,0,0,7881,998
9120,ROLETTE STATE BANK,2025-12-31,49247,34492,1.0726782538863076,0.03441748408191361,0.07146614220047111,43985,0,0,4973,777
9121,STATE BANK OF BOTTINEAU,2025-12-31,119525,97321,1.6890083137191518,0,-0.10001939770137236,100423,10.485400857802706,10.485400857802706,10171,1660
9123,WESTERN STATE BANK,2025-12-31,2558391,2168483,1.7993257905929494,1.4968191517496476,0.3460180114179937,2193986,13.698101732586638,13.698101732586638,309697,43425
9137,OSGOOD BANK,2025-12-31,508523,292164,2.013958526875698,0.7348181735861206,-0.00428134919145073,448275,12.318664086937249,12.318664086937249,39235,5672
9139,COML&SVG BK MILLERSBURG OH,2025-12-31,1292368,817521,1.502425929919722,0.0785550686694193,0.05448540949477003,1128690,15.21709579304837,15.21709579304837,125088,13722
9155,COUNTYBANK,2025-12-31,729554,395315,0.8465223607313953,0.6822343173894505,0.12051847982751374,637791,15.438494675404948,15.438494675404948,47253,8856
